system:index,date,mean_NDVI,.geo
LC08_143052_20211208,08-12-2021,0.683663671,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20211224,24-12-2021,0.628321821,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210106,06-01-2021,0.679205731,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210122,22-01-2021,0.639114497,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210207,07-02-2021,0.553288894,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210223,23-02-2021,0.50191217,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210311,11-03-2021,0.444919799,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210327,27-03-2021,0.413394694,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210412,12-04-2021,0.38765527,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210428,28-04-2021,0.438474485,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210514,14-05-2021,0.425575623,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210530,30-05-2021,0.439895855,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210615,15-06-2021,0.411591487,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210701,01-07-2021,0.401600112,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210717,17-07-2021,0.446489127,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210802,02-08-2021,0.433364398,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210818,18-08-2021,0.386008591,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210903,03-09-2021,0.451343774,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20210919,19-09-2021,0.451183868,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20211005,05-10-2021,0.653012574,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20211021,21-10-2021,0.613920729,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20211106,06-11-2021,0.694492402,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20211122,22-11-2021,0.686519337,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20211208,08-12-2021,0.696255439,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143053_20211224,24-12-2021,0.642406019,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210113,13-01-2021,0.507628195,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210129,29-01-2021,0.492086028,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210214,14-02-2021,0.445801506,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210302,02-03-2021,0.437224615,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210318,18-03-2021,0.377057302,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210403,03-04-2021,0.391660512,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210419,19-04-2021,0.434795979,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210505,05-05-2021,0.506658133,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210521,21-05-2021,0.540425004,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210606,06-06-2021,0.563173229,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210622,22-06-2021,0.494186547,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210708,08-07-2021,0.586630977,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210724,24-07-2021,0.64004041,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210809,09-08-2021,0.592520128,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210825,25-08-2021,0.652989247,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210910,10-09-2021,0.611503515,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20210926,26-09-2021,0.574341925,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20211012,12-10-2021,0.699087965,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20211028,28-10-2021,0.687668596,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144051_20211215,15-12-2021,0.705232458,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210113,13-01-2021,0.527146687,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210129,29-01-2021,0.541699388,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210214,14-02-2021,0.488802873,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210302,02-03-2021,0.467679623,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210318,18-03-2021,0.427822873,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210403,03-04-2021,0.411316892,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210419,19-04-2021,0.460749553,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210505,05-05-2021,0.516154485,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210521,21-05-2021,0.477616558,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210606,06-06-2021,0.558862515,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210622,22-06-2021,0.47688831,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210708,08-07-2021,0.556210359,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210724,24-07-2021,0.574427151,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210809,09-08-2021,0.545710137,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210825,25-08-2021,0.560564166,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210910,10-09-2021,0.570358326,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20210926,26-09-2021,0.481188733,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20211012,12-10-2021,0.62724935,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20211028,28-10-2021,0.703149668,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20211129,29-11-2021,0.617120713,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144052_20211215,15-12-2021,0.681341287,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210129,29-01-2021,0.611587692,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210214,14-02-2021,0.631744274,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210302,02-03-2021,0.554124801,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210318,18-03-2021,0.490965826,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210403,03-04-2021,0.464065259,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210419,19-04-2021,0.520484941,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210505,05-05-2021,0.517461118,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210521,21-05-2021,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210606,06-06-2021,0.539835312,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210622,22-06-2021,0.417577687,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210708,08-07-2021,0.538200303,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210724,24-07-2021,0.417796019,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210809,09-08-2021,0.474971896,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210825,25-08-2021,0.510606809,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210910,10-09-2021,0.523632635,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20210926,26-09-2021,0.420101111,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20211012,12-10-2021,0.445407523,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20211028,28-10-2021,0.649162514,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20211129,29-11-2021,0.630198208,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_144053_20211215,15-12-2021,0.665591533,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210104,04-01-2021,0.747284856,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210120,20-01-2021,0.577685795,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210205,05-02-2021,0.545116737,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210221,21-02-2021,0.619303483,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210309,09-03-2021,0.512880999,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210325,25-03-2021,0.457122834,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210410,10-04-2021,0.486829301,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210426,26-04-2021,0.567829326,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210512,12-05-2021,0.339098139,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210528,28-05-2021,0.60409018,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210629,29-06-2021,0.638789325,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210731,31-07-2021,0.728797957,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210901,01-09-2021,0.688734231,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20210917,17-09-2021,0.655030727,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20211003,03-10-2021,0.704900432,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20211019,19-10-2021,0.729281505,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20211104,04-11-2021,0.743526738,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20211206,06-12-2021,0.718290586,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145051_20211222,22-12-2021,0.646261465,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210104,04-01-2021,0.786820548,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210120,20-01-2021,0.681394429,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210205,05-02-2021,0.637636069,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210221,21-02-2021,0.712276975,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210309,09-03-2021,0.601754937,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210325,25-03-2021,0.52213632,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210410,10-04-2021,0.597765801,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210426,26-04-2021,0.681610842,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210512,12-05-2021,0.306596917,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210528,28-05-2021,0.723768755,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210629,29-06-2021,0.73793429,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210731,31-07-2021,0.760585293,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210816,16-08-2021,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210901,01-09-2021,0.747596441,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20210917,17-09-2021,0.729553493,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20211003,03-10-2021,0.629010136,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20211019,19-10-2021,0.766043349,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20211104,04-11-2021,0.732102926,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20211206,06-12-2021,0.755324351,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_145052_20211222,22-12-2021,0.72637845,"{""type"":""MultiPoint"",""coordinates"":[]}"
